title,body,tags,user_id,username,discussing_issue
Android main thread not waiting for AsyncTask,"<p>I'm trying to do some encryptions and show a progress dialog while they are running because depending on the number of encryptions it can take minutes or even hours. I'm trying to measure battery before and after to see how much battery a given number of rounds will drain. My problem is that the main thread isn't waiting for the AsyncTask to finish the encryptions.</p>

<p>Here is what I have so far:</p>

<pre><code>    private void performEncryption(String name) throws InterruptedException {
        int times = this.getNumTimes();

        float batteryPercentageBefore = (new Battery(this)).percentage();
        Log.d(""BATTERY"", String.valueOf(batteryPercentageBefore));

        long timeBefore = System.currentTimeMillis();

        EncryptionHandler algo = new EncryptionHandler(name);

        (new EncryptionWorker()).execute(new EncryptorParams(algo, times));

        float batteryPercentageAfter = (new Battery(this)).percentage();
        Log.d(""BATTERY"", String.valueOf(batteryPercentageAfter));

        long timeAfter = System.currentTimeMillis();

        float batteryUsed = batteryPercentageBefore - batteryPercentageAfter;
        Log.d(""BATTERY"", ""Change: "" + String.valueOf(batteryUsed));
        long totalTime = timeAfter - timeBefore;

        String text = ""It took "" + Double.toString(totalTime/1000.0) + "" seconds to run "" + name
                + "" algorithm "" + Integer.toString(times) + "" times, and it used "" + Float.toString(batteryUsed) + ""% of battery."";
        Toast.makeText(getApplicationContext(), text,
                Toast.LENGTH_LONG).show();
        lblEncryption.setText(text);
    }
    @Override
    public boolean onCreateOptionsMenu(Menu menu) {
        // Inflate the menu; this adds items to the action bar if it is present.
        getMenuInflater().inflate(R.menu.menu_encryption, menu);
        return true;
    }

    @Override
    public boolean onOptionsItemSelected(MenuItem item) {
        // Handle action bar item clicks here. The action bar will
        // automatically handle clicks on the Home/Up button, so long
        // as you specify a parent activity in AndroidManifest.xml.
        int id = item.getItemId();

        //noinspection SimplifiableIfStatement
        if (id == R.id.action_settings) {
            return true;
        }

        return super.onOptionsItemSelected(item);
    }

    private class EncryptionWorker extends AsyncTask&lt;EncryptorParams, Integer, Integer&gt; {
        private ProgressDialog dialog;

        @Override
        public void onPreExecute() {
            super.onPreExecute();

            this.dialog = new ProgressDialog(EncryptionActivity.this);
            this.dialog.setTitle(""Encrypting"");
            this.dialog.setMessage(""Please wait. This may take a while"");

            this.dialog.show();
        }

        @Override
        public Integer doInBackground(EncryptorParams... params) {
            for (int i = 0; i &lt; params[0].rounds; i++) {
                try {
                    params[0].encryptor.encrypt(""Performs the encryption algorithm"", ""the name of the encryption algorithm, can be: AES, 3DES, Blowfish"");
                } catch (Exception e) {
                    Log.e(""EXCEPTION"", e.getMessage());
                    return 1;
                }
            }

            return 0;
        }

        @Override
        protected void onPostExecute(Integer result) {
            super.onPostExecute(result);

            this.dialog.dismiss();
        }
    }
}
</code></pre>",java|android|multithreading|concurrency|android-asynctask,2378567,Hugo,yes
"FusedLocationProviderApi, PRIORITY_BALANCED_POWER_ACCURACY and GPS usage","<p>I'm creating an app which tracks the location through FusedLocationProviderApi in a Foreground Service.</p>

<p>When I create LocationRequest with PRIORITY_BALANCED_POWER_ACCURACY and start listening for location updates, to my surprise GPS fires up ( Location in the phone settings is set to High Accuracy). I get the location almost immediately (through wifi/cell sources I guess), but as I'm indoors I can't get a GPS fix and it just keeps on trying without end...</p>

<p>Even though I didn't ask for PRIORITY_HIGH_ACCURACY I get hit with significant battery drain and get blamed for using GPS for several minutes. </p>

<ol>
<li>Is there a way to set a timeout for GPS search (detect indoors situation)? </li>
<li>Is it possible to get a decent location using FusedLocationProviderApi without automatically triggering GPS or do I have to revert to the old location API?</li>
<li>Do I have to resort to limiting each LocationRequest to couple of minutes (setExpirationDuration) and create a new one to prevent the GPS battery drain?</li>
</ol>

<p>[EDIT]:  I think I might have found an another culprit. On a map tab in the app I have set setMyLocationEnabled(true), and this seems to be causing the GPS to flare up. I will experiment a bit more and post the results. Still I'm interested in how the location manager decides that enough is enough when it comes to GPS fix attempt.</p>

<p>Thanks in advance!</p>",android|gps|location|fusedlocationproviderapi,1779849,Nemanja Maksimovic,yes
"Problems keeping service alive through rotate, killing when leaving app, and turning screen off in landscape","<p>I have a service that I need to meet the following conditions</p>

<p>1) The service needs to be running while the app is in the foreground.</p>

<p>2) When the activity rotates, do not stop the service</p>

<p>3) The service must remain active even if you minimize the app when one specific fragment is open.</p>

<p>4) When the activity is stopped (not via rotate) and it is not the specific fragment, stop the service. </p>

<p>I'm starting/stopping my services in the onstart/onstop.  I ended up using a boolean to track if the screen was rotating.</p>

<p>I'm starting/stopping my services like this</p>

<p>context.getApplicationContext().startService(intent)</p>

<p>context.getApplicationContext().stopService(intent)</p>

<p>It worked perfectly except for one situation. </p>

<p>When you turn the screen off in landscape, Android for some reason decides it needs to recreate the whole activity, and calls through the entire life cycle. I've reproduced this in a basic app on 4.4 and 5.0.1, and it's been shown in other threads such as this.  </p>

<p><a href=""https://stackoverflow.com/questions/3407192/problems-understanding-the-life-cycle-when-screen-goes-off-and-on"">Problems understanding the life cycle when screen goes off and on</a></p>

<p>When it does this, the rotating/not rotating can't be relied on, and I'm guessing due to how quickly things were happening (multiple onStop/onStarts), it was causing race conditions. When I would return to the app, sometimes it worked, sometimes it would hang (no errors), sometimes two services would be running.</p>

<p>It became a rabbit hole where I started doing checks like, was the screen off when it came into the onStart, so the next time onStart was called it knew it was coming back in from an screen off recreation that was being flagged as rotated (since Android was now rotating it back into landscape from the portrait lock screen).  It was getting ridiculous, and not working well.</p>

<p>One thread suggested using a headless fragment for it to survive rotation, but I still need it to stop when the app is closed, so I end up getting stuck with the same problem.</p>

<p>Are there any recommended ways to go about solving this?  The service can't be allowed to remain active if the app is closed (except for the 1 fragment), it'll just be a huge battery drain, and it needs to survive rotations or it will interrupt things.</p>",android|android-fragments|android-service|android-lifecycle|android-service-binding,2408033,Ben987654,yes
Ionic keep app open in background,"<p>I'm having an issue with one of my ionic apps where on android it closes completely after about an hour or so in the background, forcing the user to have to wait for the entire app to reload when they try to open it.  </p>

<p>I attempted to use <a href=""https://ionicframework.com/docs/native/background-mode/"" rel=""nofollow noreferrer"">this plugin</a> to solve the issue, but when running a debug version of the apk I get a warning that the app is ""doing heavy tasks"" in the background.  I don't want to drain my user's battery, but I need some way to prevent the users from having to reload the app completely after an hour or so since the initial app load can be a little slow.  What would be the best way to go about achieving this?</p>",android|ionic3,8649330,Adam Batson,yes
Gallery Thumbnails are not being updated,"<p>So Here's the scenario</p>

<p>Iterate through a folder, and replace all the images with another set of images.</p>

<p>What I expect : Image to be updated in my gallery as well as it's thumbnail.</p>

<p>What I get : When I open my gallery the old image thumbnail is still there. When I open the image, the replaced version of that image appears. And to make it even stranger, some of the images, when you open them, there is a quick flash of the previous original image, followed by the replaced version, and if you zoom in on that photo, ""surprise"" it's the old photo again (Note : this is only with some images. - Not all).
All images though, doesn't have an updated thumbnail.</p>

<p>Give it 10 minutes and bam!, all images has been refreshed with no trace of the old original ones.</p>

<p>No clue why it doesn't do it instantaneously.</p>

<p>I Have also followed the instructions here. But the same problem persist.<a href=""https://stackoverflow.com/questions/9414955/trigger-mediascanner-on-specific-path-folder-how-to"">Trigger scan whole folder</a> Latest API doesn't allow scanning for whole folder besides the system doing that, since some apps scanned a folder because just one image changed thus draining battery life. </p>

<p>My Code</p>

<pre><code>//originalImagesList is the list of filepaths for all the images in a specific folder
for (String s :originalImagesList)
{
    try
    {
        File checkIfFile = new File(s);
        //replacementAppImg contains a list of images used to replace other images with
        Log.v(TAG, ""Moving file From Replace - "" + replacementAppImg.get(1));
        Log.v(TAG, ""Moving file to Replace - "" + s);

        InputStream in = new FileInputStream(replacementAppImg.get(1)); //From where
        OutputStream out = new FileOutputStream(s); //To where

        //Copy the bits from instream to outstream
        byte[] buf = new byte[1024];
        int len;
        while ((len = in.read(buf)) &gt; 0) {
            out.write(buf, 0, len);
        }
        in.close();
        out.close();

        Intent mediaScannerIntent = new Intent(Intent.ACTION_MEDIA_SCANNER_SCAN_FILE);
        //checkIfFile is the new replaces image that i want to refresh/check
        Uri fileContentUri = Uri.fromFile(checkIfFile);
        mediaScannerIntent.setData(fileContentUri);
        CustomSettings.getCustomAppContext().sendBroadcast(mediaScannerIntent);
    } catch (Exception ex) {
        Log.v(TAG2,""Exception 1 - ""  + ex.toString());
    }
}
</code></pre>",android|image|thumbnails|android-mediascanner,1713519,Ruan,yes
Location tracking in background with PhoneGap,"<p>I'm trying to create very simple application that will get the current location of the device and post it to server every 15 minutes or so.
I'm using cordova-plugin-background-fetch ( <a href=""https://github.com/transistorsoft/cordova-plugin-background-fetch"" rel=""nofollow noreferrer"">https://github.com/transistorsoft/cordova-plugin-background-fetch</a> ) and it works just fine awaking the app on about 15 minutes (or so), but the issue I'm facing is to get GPS coordinates. </p>

<p>I'm trying to get it using navigator.geolocation.getCurrentPosition and before I start BackgroundFetch, I make one test call with navigator.geolocation.getCurrentPosition to check if it works and have all the permissions. It is the same code as in example callback function and it works just fine on that first test call.</p>

<p>The problem I'm facing is that once BackgroundFetch awakes the application, in callback function navigator.geolocation.getCurrentPosition always fail (error code 3 - timeout expired).</p>

<p>I even tried to make it work with navigator.geolocation.watchPosition, but same issue. The first time I start it, it works. Once callback start it in background, it fails (again timeout expired).</p>

<p>I don't want to watch position all the time and drain the battery, I really need it only once in every 15-30 minutes.</p>

<p>Here is the code that I'm using and every help and suggestion is welcome!</p>

<p>Thank you!</p>

<pre><code>    BackgroundFetch.configure(function() {

        console.log('[js] BackgroundFetch event received');

        navigator.geolocation.getCurrentPosition(function(position){

            console.log('we have location now');

            $.post('https://www.example.com/api/location/', {
                Lat: position.coords.latitude,
                Lon: position.coords.longitude
            }, function(data){

                window.BackgroundFetch.finish();

            }, 'json').fail(function(){

                window.BackgroundFetch.finish();

            });

        }, function(error){

            console.log('Error code: ' + error.code);
            console.log('Error message: ' + error.message);

            window.BackgroundFetch.finish();

        }, {
            enableHighAccuracy: false,
            timeout:            20000,
            maximumAge:         0
        });

    }, function(error) {

        console.log('- BackgroundFetch failed', error);

    }, {
        minimumFetchInterval: 15
    });
</code></pre>",android|ios|cordova|cordova-plugins|phonegap,10627157,Marinko Zamurovic,yes
iOS 9 Background Location update and Update on server using web-service,"<p>I have developed an application that has the capability to update the location on server while application is in background as well as foreground. I have used Timer which continuously updates location with 1 minute time interval, because if the interval is more than 1 minute , <code>iOS</code> suspends the application in background.</p>

<p>The problem is with iOS 9, when application is in background, some time it stops the location update and after some random time duration it again starts.</p>

<p>These are the crash logs which I found from device logs.</p>

<pre><code>Exception Type:  00000020
    Exception Codes: 0x000000008badf00d
    Exception Note:  SIMULATED (this is NOT a crash)
    Highlighted by Thread:  2

    Application Specific Information:
    &lt;BKNewProcess: 0x15646220; com.com.com; pid: 1168; hostpid: -1&gt; has active assertions beyond permitted time: 
    {(
        &lt;BKProcessAssertion: 0x15537b80&gt; id: 1168-1B744B09-0EB7-4B01-A6FE-F167669E4439 name: Called by UIKit, from &lt;redacted&gt; process: &lt;BKNewProcess: 0x15646220; com.com.com; pid: 1168; hostpid: -1&gt; permittedBackgroundDuration: 180.000000 reason: finishTask owner pid:1168 preventSuspend  preventIdleSleep  preventSuspendOnSleep ,
        &lt;BKProcessAssertion: 0x15643480&gt; id: 1168-59515322-D982-46F8-94A5-0DD259406664 name: Called by UIKit, from &lt;redacted&gt; process: &lt;BKNewProcess: 0x15646220; com.com.com; pid: 1168; hostpid: -1&gt; permittedBackgroundDuration: 180.000000 reason: finishTask owner pid:1168 preventSuspend  preventIdleSleep  preventSuspendOnSleep 
    )}
    Elapsed total CPU time (seconds): 6.880 (user 6.880, system 0.000), 9% CPU 
    Elapsed application CPU time (seconds): 0.081, 0% CPU
</code></pre>

<p>Note: Everything is working completely fine in iOS 7 and iOS 8.</p>

<p>I have tried couple of solutions available on stackoverflow but I am not able to figure out the exact solutions which can solve the problem.</p>

<p>Also I found that if I don't lock the device then the location update and web-service calling works fine but if the device is locked, it stops updating location and calling up web-service.</p>

<p>Any help would be highly appreciated.</p>

<p>Thank you in advance.</p>

<p><strong>UPDATE</strong></p>

<p><code>AppDelegate.h</code></p>

<pre><code>@property (nonatomic, retain) CLLocation *currentLocation;
@property (nonatomic, strong) NSTimer* locationUpdateTimer;
-(void)updateUsersLocation;
-(void)distroyTimer;
</code></pre>

<p><code>AppDelegate.m</code></p>

<pre><code>-(void)callLocationManager
{
    @autoreleasepool
    {
        UIAlertView * alert;
        //We have to make sure that the Background App Refresh is enable for the Location updates to work in the background.
        if([[UIApplication sharedApplication] backgroundRefreshStatus] == UIBackgroundRefreshStatusDenied)
        {
            alert = [[UIAlertView alloc]initWithTitle:ALERTTITLE
                                              message:@""The app doesn't work without the Background App Refresh enabled. To turn it on, go to Settings &gt; General &gt; Background App Refresh""
                                             delegate:nil
                                    cancelButtonTitle:@""Ok""
                                    otherButtonTitles:nil, nil];
            [alert show];
            return;
        }
        else if([[UIApplication sharedApplication] backgroundRefreshStatus] == UIBackgroundRefreshStatusRestricted)
        {
            alert = [[UIAlertView alloc]initWithTitle:ALERTTITLE
                                              message:@""The functions of this app are limited because the Background App Refresh is disable.""
                                             delegate:nil
                                    cancelButtonTitle:@""Ok""
                                    otherButtonTitles:nil, nil];
            [alert show];
            return;
        }
        else if(![CLLocationManager locationServicesEnabled])
        {
            UIAlertView *alert = [[UIAlertView alloc]
                                  initWithTitle:@""""
                                  message:@""Please enable GPS service for HiHo Mobile From settings""
                                  delegate:nil
                                  cancelButtonTitle:@""OK""
                                  otherButtonTitles:nil];
            [alert show];
            return;
        }
        else
        {
            if (!self.locationManager)
            {
                self.locationManager = [[CLLocationManager alloc] init];
            }
            self.locationManager.delegate = self;
            // self.locationManager.distanceFilter = kCLDistanceFilterNone;
            self.locationManager.desiredAccuracy = kCLLocationAccuracyBest;
            self.locationManager.distanceFilter = 10.0f;
            self.locationManager.activityType = CLActivityTypeAutomotiveNavigation;

            if ([[[UIDevice currentDevice] systemVersion] floatValue] &gt;= 8.0)
            {
                [self.locationManager requestAlwaysAuthorization];
            }

            if ([self.locationManager respondsToSelector:@selector(allowsBackgroundLocationUpdates)])
            {
                self.locationManager.allowsBackgroundLocationUpdates  = YES;
            }
            if ([self.locationManager respondsToSelector:@selector(pausesLocationUpdatesAutomatically)])
            {
                self.locationManager.pausesLocationUpdatesAutomatically= NO;
            }
            if([self.locationManager respondsToSelector:@selector(allowsBackgroundLocationUpdates)])
            {
                [self.locationManager setAllowsBackgroundLocationUpdates:YES];
            }
            [self.locationManager stopMonitoringSignificantLocationChanges];
            [self.locationManager startUpdatingLocation];

            if ([USERDEFAULTS boolForKey:@""someFlag""]==YES)
            {
                [self distroyTimer];
                self.locationUpdateTimer =
                [NSTimer scheduledTimerWithTimeInterval:180
                                                 target:self
                                               selector:@selector(updateUsersLocation)
                                               userInfo:nil
                                                repeats:YES];
                [[NSRunLoop mainRunLoop]addTimer:self.locationUpdateTimer forMode:NSRunLoopCommonModes];
            }
            else
            {
                [self.locationManager stopUpdatingLocation];
                [self.locationManager startMonitoringSignificantLocationChanges];
            }
        }
    }
}

-(void)distroyTimer
{
    if ([self.locationUpdateTimer isValid])
    {
        [self.locationUpdateTimer invalidate];
        self.locationUpdateTimer = nil;
    }
}

- (void)locationManager:(CLLocationManager *)manager didUpdateToLocation:(CLLocation *)newLocation fromLocation:(CLLocation *)oldLocation
{
    NSLog(@""latitude: %f, longitude: %f"",newLocation.coordinate.latitude, newLocation.coordinate.longitude);
    self.currentLocation = newLocation;
}
</code></pre>

<p>// Write your code to update location on server</p>

<pre><code>-(void)updateUsersLocation
{
    // Your code goes here.
}
</code></pre>

<p>Note: Continuous update of location services will dramatically drain your iOS device's battery. So as soon as you have no use of updated location you can use <code>significant locations</code>.</p>",ios|iphone|cllocationmanager|background-process|location-services,2056569,Vatsal K,no
Fast scanning of SD card on Android,"<p>I am trying to write an algorithm for fastest scanning of whole SD card. What I try to achieve is something in the line with QuickPic, which has ""normal speed"" initial scanning of SD card, but any subsequent refresh is incredibly fast. </p>

<p>I have tried several things, and I have some more ideas which I have not tested</p>

<p>1) Always scan entires SD card. I tried this...it's a bit slower on initial scan. but all subsequent scans are faster, but not as fast as QucikPic. </p>

<p>2) After initial scan add FileObserver to all folders. Although it only increases memory of application by approximately 1 MB, I am afraid this will affect performance or even drain battery, since it must run all the time. Also, I have database on SD card and I am constantly getting events for journal file being created/deleted. I am sure when working with other apps there will be other folders/files for which I will get constant notification. Not sure this is OK performance wise.</p>

<p>3) Using data from MediaStore. Unfortunately it seems that on my HTC Desire Media store is not always up to date with what's on SD card (not sure why), but that's not good enough.</p>

<p>3) Using ContentObserver. Haven't tried this yet, and must check documentation, but I have a feeling that if MediaStore doesn't have an image in it's DB, then I won't get it from ContentObserver either.</p>

<p>Do you guys have any other suggestion? Basically what I need is to know about all image files on SD card at some point. Initial scan can take a bit longer, subsequent scans should be as fast as possible (I know it depends on number of folders/files on SD card) but QuickPic scans (or whatever it does) entire SD card in about 0.6-0.8 seconds, and I just can't do it that fast.</p>",android|performance|mediastore,266968,gorann,no
Android: App that runs in background drain battery,"<p>I made an app that connect to my server every 5-10 minutes and check if there is some change in database.</p>

<p>So i use Service so that app can run in background and that user can close app and get messages in status bar. Inside of it i use Thread so that app sleeps for 5-10 minutes. The problem begins when i lock the phone. than  app just stops (this is because when you lock your  phone goes to ""sleep""), so i figured out that i need this:</p>

<pre><code>PowerManager pm = (PowerManager) getSystemService(Context.POWER_SERVICE);
wl = pm.newWakeLock(PowerManager.PARTIAL_WAKE_LOCK, 'My Tag');      
wl.acquire();
</code></pre>

<p>That forces phone not to go sleep except the screen. But there i stuck. This works fine, but drains the battery to much. 10% per hour :( And i believe that there is not a problem that app have to make those web services request all the thime but that function which force that phone to be alive.</p>

<p>So, my question is, if there is any other solution that i can use, because i have some app on phone that runs in backgorund but they do not drains battery so much at all (avast, juice defender, etc..).</p>

<p>Any idea is very helpfull!</p>

<p>regards!</p>",android|service|background|battery|powermanager,1131584,Jure Možina,yes
URL Scheme alternative to push notification?,"<p>Push notifications are not reliable. Apple Push Notification Server does not guarantee the delivery of the notification.</p>

<p>We have an application, in which we present a web view, in which there is a button, that should trigger a request from the client to the server. But as the button is in the web page (presented in the webview), the server sends us a push notification asking us to start sending the request.
This is difficult in iOS, because, any notification should be accepted by the user to be called upon, and anyway, push notification can not be always relied upon.</p>

<p>One Alternative to this is to keep polling the server asking if i should trigger the request. But this will work only when app is running, and will drain a lot of battery.</p>

<p>Another alternative is creating a custom URL scheme. But I am not sure how to use that, and if that will work for android as well. Can any one explain on how we can use URL scheme to achieve our goal?</p>",android|iphone|ios|push-notification|url-scheme,1554632,Nikita P,yes
How to restrict battery drain for an application using CLLocationManager,"<p>I am developing an iPhone application in which I am updating current location of user from time to time using GPRS.</p>

<p>I found that battery is getting drained.</p>

<p>Can anyone help me in solving this issue?</p>",iphone|ios|objective-c|cllocationmanager|batterylevel,2458365,Muruganandan Pandi,yes
"Android, detecting movement with sensors with effective battery use","<p>I'm wanting to add a feature to my app (that usually runs most of it's functionality as a service) so that it can monitor for when the device is picked up.</p>

<p>My plan (although I'm not sure it's the best way) is to use the accelerometer to monitor for movement.</p>

<p>Reading the android docs it says you should unregister the sensor as soon as you can because it can drain the battery in a few hours.</p>

<p>So my question is, is there a way to use the sensor efficiently so as not to drain the battery, but still detect movements of the device when it's picked up?</p>

<p>Or is there a better way to do this.</p>

<p>At the moment I'm registering the sensor like this:</p>

<pre><code>mSensorManager.registerListener(mSensorListener, mSensorManager.getDefaultSensor(Sensor.TYPE_ACCELEROMETER), SensorManager.SENSOR_DELAY_NORMAL); 
</code></pre>",android|android-sensors,578374,Andrew,yes
find users nearby cordova like facebook nearby,"<p>I am working on an android application which can find users nearby. I need help in design that application.</p>

<p>Imagine you are in the street, you connect to the app and will see a gps view
with all other people that have the same app, so i need to see them in my map.</p>

<p>How can i archive this in cordova app? </p>

<p>I am thinking about: </p>

<blockquote>
  <ol>
  <li>When I start my application, I use API to find my location.</li>
  <li>I send that location to my server. </li>
  <li>server returns a list of other users nearby.</li>
  </ol>
</blockquote>

<p>That can be possible but for that user need to keep open or put app in background for get above task and it will drained all battery. </p>

<p>I need to get functionality that Facebook user for nearby user find. Have you any one help me on this to archive this ?</p>

<p>To be very frank i am confused to what approach i need to be use. </p>

<p>Please guide me.</p>",android|ios|cordova|geolocation|google-nearby,3139153,Naitik,no
"Infinite loop in android background service, battery drain issues?","<p>I'm writing an app that, among other things, will notify via notification pepople who everyday commute, if the public transport they usually take have some kind of delay.</p>

<p>I considered implement this function using the AlarmManager, but I found too many problems related to how many public transport are chosen and what days the user decides to receive the notifications.</p>

<p>So I came up with another solution: save the user preference into a file, and launch a background service that checks that file every 5 minutes, and if the conditions are respected, it shows the notification:</p>

<pre><code>@Override
public int onStartCommand(Intent intent, int flags, int startId) {

    while(true){
        try{              
            if (fileCheck()){
                Uri alarmSound = RingtoneManager.getDefaultUri(RingtoneManager.TYPE_NOTIFICATION);
                NotificationCompat.Builder mBuilder = new NotificationCompat.Builder(this).setSmallIcon(R.drawable.avanti).setContentTitle(getString(R.string.app_name)).setSound(alarmSound);
                mBuilder.setContentText(""Test"");
                NotificationManager mNotificationManager = (NotificationManager) getSystemService(Context.NOTIFICATION_SERVICE);
                mNotificationManager.notify(0, mBuilder.build());
                Thread.sleep(300000)
            }
        } catch (Exception ignored){}
    }
}
</code></pre>

<p>And it works, but I have a doubt: is this going to cause performance or battery drain issues? Or is it safe since it sleeps most of the time?</p>",android|performance|service|infinite-loop,4887888,Ruocco,no
Stopping CoreLocation background updates,"<p>My app registers for background location updates (not Significant Change. I need more granularity than kilometers)</p>

<p>That part works fine. I just want to <strong>stop</strong> the updates after the app has been in the background for 60 minutes. The way I'm doing it right now is to call <code>stopUpdatingLocation</code> in my CLLocationManager delegate.</p>

<p>However, I am <em>unsure</em> if this will actually stop my app from receiving background location updates, or if it <em>will</em>, but will just ignore them. Ideally, I'd like to not have my app be responsible for battery drain except for a small period of time after user activity.</p>

<p>Apple's documentation tends to send me in circles on this one. Right when I think ""Executing Code in the Background"" is about to spill the answer, it directs me to ""Location Awareness Programming Guide."" Right when that one is about to get specific about this question, it sends me back to ""Executing Code in the Background."" :)</p>",iphone|objective-c|cocoa-touch|core-location|cllocationmanager,553394,Eric G,yes
"How does the step-counter from the samsung health app, count the steps?","<p>I know that when I want to use any of androids sensors, I have to register them and read their values via onSensorChanged().</p>

<p>If I am done with them, I unregister them to save power.</p>

<p>How come the step-counter in my Galaxy S7s health app is able to count steps? </p>

<p>I assume it's not e.g. the accelerometer, since the high power consumption of the sensor would drain my battery in hours.</p>",android|android-sensors,520897,tim,no
Android Service with auth dependency design approach,"<p>I am wondering what would be a good architecture design for a <code>Service</code> that runs even if the app is killed by the system (need to run indefinitely) and, that needs the user to be authenticated to communicate with a backend.</p>

<p>For instance, an app to prompts you to sign in and, while authenticated, the <code>Service</code> will notify your current location to the server. Auto login with saved credentials might be desired in this scenario.</p>

<p>I foresee a couple of design decisions that might be important:</p>

<ul>
<li>Who's in charge of the authentication?</li>
<li>Who's in charge of the communication with the backend? In the example: notify the current user location.</li>
<li>If user changes his password out of the app (in a Website for instance) and the <code>Service</code> is not aware of, it's absolutely acceptable. But, when signing in again via app it should update its credentials and run normally again.</li>
</ul>

<p>I have thought in these solutions, but might be not ideal:</p>

<ol>
<li><p>All the server communication placed in the app and the <code>Service</code> wakes up the app when necessary using <code>AlarmManager</code> &amp; <code>BroadcastReceiver</code>.</p></li>
<li><p>Place the server communication (in example, location notification) in the <code>Service</code> and notify about credentials from the app when credentials renewed (token, whatever,... trying to be a bit auth backend implementation agnostic).</p></li>
<li><p>Implement an <code>Account</code> in <a href=""http://developer.android.com/reference/android/accounts/AccountManager.html"" rel=""nofollow""><code>AccountManager</code></a> and keep both components kind of independent. <code>Service</code> relies on <code>AccountManager</code>, so doesn't need to deal with authentication and can do its work by its own.</p></li>
</ol>

<p>Advantages and inconveniences of the suggested solutions? Any other approach?</p>

<p>In (1), I do see the problem of  <code>WakeLock</code> happening too often (battery drain) if the communication with the backend is intense. (3) seems to be more isolated, but I have no experience with it and don't know the drawbacks.</p>",android|authentication|android-service,621264,atxe,no
How to detect volume buttons when screen is off in energy-saving way,"<p>I would make an application that handle the volume buttons when screen is off. The goal would be to turn on or off the front LED.</p>

<p>I know that there many topics here that talk about it, but the recommended solutions (like <a href=""http://developer.android.com/reference/android/os/PowerManager.html#PARTIAL_WAKE_LOCK"" rel=""nofollow"">PARTIAL_WAKE_LOCK</a>) seem to be energy intensive and drain the battery very quickly!</p>

<p>What I want is a solution that is <strong>as energy efficient as possible</strong>. Is this possible? Maybe some kind of hooking?</p>

<p>Please note that the solutions based on scheduled tasks <em>can not</em> be envisaged for this project because I want detect keys in real time (or close to it)!</p>",java|android|energy,2416369,Kevin Vuilleumier,yes
Firebase multiple child listeners,"<p>We're developing a mobile app (Android and iOS for now) for which we're using Firebase for chat and other real-time messages.</p>

<p>The structure we're using is:</p>

<pre><code>firebase-url/user-id/
                 contacts/child-element
                 activities/
                           joined/child-element
                           created/child-element
                 notifications/child-element
</code></pre>

<p>In order to keep my app data updated I execute a query and attach a child listener to each first level child(or second in the case of activities) of the user-id branch (contacts, joined, created, notifications). Functional wise it works perfectly and can easily keep everything up to date, but had a one hour user test today and the battery drain was pretty heavy (for one user the app was using around 26% of the battery, second most used) and always the GC collector runs quite often, my feeling is that the firebase connection might be the biggest user. Is this correct? Might it be better to have a child listener only on the user-id branch?</p>

<p>Any help would be appreciated. I will post some of the Android code if needed.</p>

<p>PS: This was for the Android version of the app.</p>",android|firebase|firebase-realtime-database,1783166,redspider,no
Need to unsubscribe Firestore/Angularfire2 subscription,"<p>I use Firestore like so.</p>

<p><strong>Use case 1:</strong></p>

<pre class=""lang-js prettyprint-override""><code>contacts$: Observable&lt;ContactDetail[]&gt;;

constructor(){    
} 

ionViewDidEnter() {
   this.contacts$ = this.contactProvider.getSpecificUserContacts(this.authenticationProvider.user.uid).valueChanges();
   this.contacts$.pipe(first()).subscribe(res =&gt; { },
      err =&gt; { },
      () =&gt; { }
   );
}
</code></pre>

<p><strong>Use case 2:</strong></p>

<pre class=""lang-js prettyprint-override""><code>getAllContactCategories() {
    this.categories$ = this.categoryProvider.getAllContactCategories().valueChanges();
    this.categories$.subscribe(res =&gt; {
       this.categorySortedList = res;          
    },
      err =&gt; { }
    );
}
</code></pre>

<p>But I have never <code>unsubscribed</code> it. So do I need to do that? Otherwise, will it lead to memory leaks and draining the battery usage?
I know we don't need to <code>unsubscribed</code> angular <code>HTTP</code> services since it does automatically by the framework itself. So what about Firestore/Angularfire2 <code>observables</code>? I have never seen such a pattern with firestore books or articles or like so.</p>",angular|firebase|ionic3|google-cloud-firestore|angularfire2,1077309,Sampath,no
what technology used in mobile chat apps to receive messages?,"<p>I'm some kind of backend developer and don't know how mobile applications work. But I need to provide architecture for mobile chat application server.</p>
<p>I know that android apps using google services to receive push notifications from firebase, so we don't need run own application in endless loop and poll for new data at server.</p>
<p>That is prefect for push notifications, but firebase notification body limited by 4KB and don't fit for big messages.</p>
<p>So I can see only one realization:</p>
<ol>
<li>Google services polling for FCM (ex-GCM) notifications</li>
<li>Receive some signal-like notification</li>
<li>According this notification my app go to server and download new message</li>
<li>Update local chat data</li>
<li>Show generated locally notification for new message</li>
</ol>
<p>This way is looking pretty complicated, so I don't believe that this is only possible (and correct) way.</p>
<p>Another way is to keep websocket session opened every time or poll server manually. But these two operations should drain battery to much.</p>
<p>So how modern chat apps stay in sync even if they closed and device screen off?</p>",android|ios|chat|messaging,13946204,rzlvmp,no
