,Tag,Cluster,Cluster_Name
209,tizen-wearable-sdk,5,Software Development Kits (SDKs)
210,toast,121,"""Food/Breakfast Items"""
211,tracking,122,"""Analytics & Monitoring"""
212,unity3d,2,Game Development and Design
213,urbanairship.com,123,"""Website/Online Platform"""
214,usage-statistics,124,"""Data Analysis"""
215,vpn,125,"""Internet Security"""
216,wait,126,"""Time Management"""
217,wakelock,29,"""Alarm and Alert Systems"""
218,wakeup,29,"""Alarm and Alert Systems"""
219,wear-os,127,"""Operating Systems"""
220,web-applications,11,Web Development
221,web-services,11,Web Development
222,webkit,128,"""Web Development"""
223,websocket,38,Network Communication Technologies
224,whitelist,129,"""Internet Security"""
225,widget,130,"""Web Development"""
226,wifi,36,"""Wireless Connectivity"""
227,wifi-direct,36,"""Wireless Connectivity"""
228,win-universal-app,131,"""Windows Development"""
229,windows,3,"""Mobile and Windows Operating Systems"""
230,windows-mobile,3,"""Mobile and Windows Operating Systems"""
231,windows-mobile-5.0,3,"""Mobile and Windows Operating Systems"""
232,windows-phone,3,"""Mobile and Windows Operating Systems"""
233,windows-phone-7,3,"""Mobile and Windows Operating Systems"""
234,windows-phone-8,3,"""Mobile and Windows Operating Systems"""
235,xamarin,132,"""Mobile App Development"""
236,xamarin.forms,133,"""Mobile App Development"""
237,xamarin.ios,20,iOS Development
238,xcode,14,"""Apple Xcode Development"""
239,xcode-instruments,14,"""Apple Xcode Development"""
240,xmpp,134,"""Communication Protocols"""
